iter	Passed	Remaining
399	54451	67928
400	54566	67765
401	54738	67673
402	54927	67602
403	55030	67425
404	55181	67307
405	55319	67173
406	55468	67053
407	55622	66937
408	55797	66847
409	55929	66706
410	56088	66596
411	56207	66439
412	56360	66323
413	56532	66227
414	56635	66051
415	56790	65936
416	56900	65770
417	57030	65626
418	57175	65499
419	57236	65277
420	57374	65142
421	57530	65028
422	57679	64906
423	57826	64782
424	58000	64687
425	58176	64595
426	58312	64458
427	58465	64339
428	58624	64227
429	58781	64113
430	58907	63964
431	59046	63830
432	59200	63712
433	59343	63582
434	59485	63451
435	59649	63343
436	59810	63232
437	59980	63130
438	60121	62997
439	60273	62876
440	60390	62718
441	60510	62564
442	60663	62443
443	60808	62315
444	60942	62174
445	61078	62037
446	61256	61941
447	61412	61823
448	61594	61731
449	61749	61611
450	61890	61478
451	62041	61355
452	62192	61231
453	62369	61133
454	62508	60997
455	62644	60858
456	62798	60737
457	62943	60607
458	63054	60444
459	63181	60297
460	63302	60144
461	63466	60032
462	63592	59884
463	63743	59759
464	63884	59625
465	64036	59502
466	64148	59340
467	64281	59198
468	64528	59163
469	64651	59011
470	64775	58861
471	65015	58817
472	65320	58829
473	65465	58698
474	65643	58595
475	65871	58537
476	66043	58428
477	66179	58287
478	66296	58130
479	66454	58008
480	66614	57889
481	66822	57811
482	67010	57714
483	67164	57589
484	67353	57493
485	67518	57376
486	67665	57244
487	67812	57112
488	67933	56958
489	68098	56841
490	68206	56676
491	68344	56536
492	68496	56409
493	68648	56280
494	68796	56149
495	68956	56026
496	69123	55910
497	69337	55832
498	69500	55711
499	69635	55569
500	69814	55461
501	70029	55381
502	70172	55244
503	70309	55103
504	70425	54945
505	70498	54754
506	70654	54628
507	70807	54499
508	70970	54378
509	71132	54256
510	71286	54127
511	71437	53996
512	71604	53877
513	71758	53749
514	71900	53610
515	72054	53482
516	72217	53360
517	72398	53250
518	72551	53120
519	72736	53013
520	72900	52891
521	73052	52760
522	73219	52639
523	73408	52534
524	73583	52419
525	73745	52294
526	73920	52179
527	74085	52056
528	74304	51970
529	74450	51834
530	74597	51698
531	74761	51574
532	74933	51455
533	75083	51321
534	75272	51213
535	75424	51080
536	75595	50959
537	75749	50828
538	75915	50704
539	76077	50577
540	76239	50450
541	76409	50329
542	76553	50189
543	76693	50048
544	76816	49895
545	76971	49763
546	77122	49628
547	77272	49494
548	77438	49368
549	77575	49225
550	77716	49083
551	77984	49022
552	78138	48889
553	78270	48742
554	78440	48618
555	78883	48663
556	79103	48570
557	79287	48453
558	79563	48392
559	79735	48268
560	79896	48137
561	80071	48014
562	80245	47890
563	80402	47756
564	80562	47624
565	80701	47479
566	80860	47346
567	81014	47210
568	81170	47076
569	81318	46936
570	81428	46774
571	81602	46650
572	81761	46516
573	81911	46378
574	82081	46250
575	82262	46129
576	82430	46001
577	82602	45874
578	82744	45731
579	82912	45601
580	83068	45466
581	83223	45329
582	83394	45201
583	83523	45051
584	83698	44925
585	83881	44803
586	84034	44665
587	84192	44530
588	84354	44396
589	84521	44266
590	84701	44142
591	84868	44011
592	85024	43874
593	85216	43755
594	85378	43621
595	85502	43468
596	85657	43331
597	85820	43197
598	85952	43048
599	86125	42919
600	86304	42793
601	86475	42663
602	86647	42533
603	86800	42394
604	86955	42255
605	87110	42117
606	87261	41977
607	87430	41845
608	87578	41704
609	87680	41540
610	87848	41408
611	87979	41258
612	88128	41116
613	88272	40973
614	88395	40820
615	88545	40679
616	88698	40539
617	88884	40415
618	89041	40277
619	89194	40137
620	89329	39989
621	89512	39863
622	89638	39711
623	89793	39572
624	89991	39452
625	90149	39314
626	90261	39156
627	90392	39007
628	90539	38864
629	90686	38721
630	90830	38577
631	90979	38436
632	91115	38288
633	91258	38144
634	91456	38022
635	91585	37872
636	91817	37764
637	91979	37628
638	92110	37478
639	92221	37320
640	92381	37183
641	92861	37173
642	93074	37056
643	93285	36937
644	93575	36849
645	93750	36716
646	93921	36581
647	94072	36438
648	94219	36294
649	94370	36151
650	94533	36012
651	94680	35868
652	94830	35724
653	95040	35603
654	95240	35479
655	95395	35337
656	95556	35197
657	95684	35045
658	95804	34890
659	96021	34771
660	96175	34629
661	96292	34473
662	96420	34321
663	96576	34179
664	96751	34044
665	96863	33887
666	97026	33748
667	97198	33612
668	97371	33476
669	97535	33336
670	97699	33197
671	97872	33061
672	98051	32926
673	98245	32797
674	98421	32661
675	98587	32522
676	98756	32384
677	98920	32243
678	99078	32102
679	99274	31972
680	99369	31809
681	99520	31665
682	99729	31539
683	99946	31415
684	100057	31258
685	100222	31118
686	100335	30962
687	100502	30822
688	100672	30684
689	100830	30541
690	100998	30401
691	101124	30249
692	101297	30111
693	101429	29961
694	101600	29822
695	101757	29679
696	101874	29524
697	102084	29396
698	102263	29260
699	102403	29111
700	102540	28963
701	102691	28817
702	102807	28663
703	102977	28523
704	103123	28377
705	103284	28235
706	103441	28091
707	103612	27952
708	103765	27807
709	103937	27667
710	104055	27513
711	104154	27355
712	104293	27206
713	104442	27061
714	104588	26915
715	104724	26766
716	104889	26624
717	105003	26470
718	105133	26319
719	105277	26173
720	105613	26073
721	105902	25962
722	106059	25818
723	106252	25682
724	106495	25558
725	106663	25416
726	106824	25273
727	106997	25132
728	107157	24988
729	107324	24846
730	107464	24697
731	107582	24544
732	107764	24405
733	107926	24261
734	108091	24118
735	108287	23982
736	108461	23840
737	108618	23695
738	108790	23554
739	108965	23412
740	109192	23282
741	109343	23135
742	109537	22998
743	109717	22857
744	109874	22712
745	110053	22571
746	110262	22436
747	110411	22289
748	110582	22146
749	110727	21997
750	110924	21859
751	111083	21714
752	111183	21557
753	111303	21404
754	111454	21257
755	111650	21119
756	111812	20974
757	112003	20834
758	112176	20691
759	112322	20543
760	112491	20399
761	112654	20254
762	112768	20100
763	112922	19953
764	113061	19804
765	113203	19655
766	113366	19510
767	113488	19358
768	113648	19212
769	113802	19065
770	113980	18922
771	114134	18776
772	114265	18625
773	114447	18483
774	114638	18342
775	114769	18191
776	114894	18040
777	115030	17890
778	115214	17748
779	115374	17601
780	115509	17452
781	115654	17303
782	115787	17153
783	115929	17004
784	116072	16856
785	116248	16712
786	116397	16564
787	116529	16414
788	116709	16271
789	116845	16121
790	117007	15975
791	117221	15836
792	117407	15693
793	117549	15544
794	117687	15395
795	117826	15246
796	117980	15099
797	118126	14950
798	118278	14803
799	118392	14651
800	118508	14499
801	118654	14351
802	118784	14200
803	118911	14050
804	119047	13901
805	119207	13754
806	119332	13604
807	119482	13456
808	119644	13310
809	119786	13161
810	119885	13008
811	120013	12858
812	120139	12708
813	120256	12557
814	120419	12411
815	120549	12261
816	120691	12113
817	120855	11967
818	120961	11815
819	121082	11665
820	121213	11515
821	121328	11365
822	121439	11214
823	121577	11065
824	121681	10914
825	121863	10770
826	121980	10619
827	122134	10472
828	122247	10322
829	122370	10172
830	122491	10023
831	122629	9875
832	122760	9726
833	122919	9580
834	123051	9431
835	123191	9283
836	123307	9133
837	123415	8983
838	123538	8834
839	123717	8689
840	123901	8544
841	124016	8395
842	124125	8245
843	124250	8096
844	124394	7949
