iter	RMSE
541	0.3346568727
542	0.3346242885
543	0.334585928
544	0.3345523956
545	0.3344932413
546	0.3343641778
547	0.3343173324
548	0.3342738972
549	0.3342412862
550	0.3341723044
551	0.3340948631
552	0.3340527074
553	0.334012844
554	0.3339520867
555	0.3339095272
556	0.3338804815
557	0.3338460164
558	0.3338132311
559	0.3337571038
560	0.3337096345
561	0.3336581981
562	0.3335906287
563	0.3335659911
564	0.3335371285
565	0.3334998163
566	0.3334646471
567	0.3334414794
568	0.3334037357
569	0.3333518956
570	0.3333287247
571	0.3332815859
572	0.3332532635
573	0.3332054716
574	0.333097681
575	0.3330700894
576	0.3330149396
577	0.3329814685
578	0.3329506749
579	0.3329011002
580	0.3328727634
581	0.3328503002
582	0.3328284316
583	0.3328001451
584	0.3327428052
585	0.3326964131
586	0.332666467
587	0.3326234206
588	0.332561638
589	0.332492998
590	0.3324718794
591	0.3323831651
592	0.332339136
593	0.332303631
594	0.3322518176
595	0.332216396
596	0.33214836
597	0.3320578036
598	0.3320286725
599	0.3319741815
600	0.3319371547
601	0.3318735152
602	0.331860255
603	0.3318380285
604	0.3317597763
605	0.3317198188
606	0.3316721894
607	0.3316307423
608	0.3316052997
609	0.331588571
610	0.3315385163
611	0.3315000689
612	0.3314526951
613	0.3314322194
614	0.3313722516
615	0.3313396475
616	0.3313100442
617	0.3312588608
618	0.3311784737
619	0.3311376843
620	0.3311113453
621	0.3310657258
622	0.3310253303
623	0.3309798397
624	0.3309408286
625	0.3309234642
626	0.3309067461
627	0.3308809089
628	0.3308584237
629	0.3307947148
630	0.3307542398
631	0.3306992809
632	0.3306599755
633	0.3305833165
634	0.3305460963
635	0.3305065519
636	0.330454396
637	0.3304212896
638	0.3304023483
639	0.3303774966
640	0.3303457927
641	0.3303131775
642	0.3302927584
643	0.3302659245
644	0.3302201607
645	0.3301682745
646	0.3301302368
647	0.3300818677
648	0.3300466836
649	0.3300228237
650	0.329911832
651	0.3298791734
652	0.3298296214
653	0.3297942918
654	0.3296605624
655	0.3296059408
656	0.3295805358
657	0.3295512591
658	0.3295193109
659	0.3294793906
660	0.3294588065
661	0.3294385362
662	0.3294031465
663	0.3293785106
664	0.3293380971
665	0.3293112487
666	0.3292450443
667	0.3292272876
668	0.3291854934
669	0.3291565308
670	0.3291033505
671	0.3290756359
672	0.3290086461
673	0.3289313883
674	0.3289080719
675	0.3288851686
676	0.3288593908
677	0.328788262
678	0.328751602
679	0.3287250393
680	0.3287031781
681	0.3286767019
682	0.3286376755
683	0.3286033004
684	0.3285858069
685	0.3285152594
686	0.3284760074
687	0.3283999043
688	0.328367068
689	0.3283053075
690	0.3282536009
691	0.3282106427
692	0.3281730723
693	0.328148517
694	0.3281116884
695	0.3280729028
696	0.3280340918
697	0.3280020118
698	0.3279622955
699	0.3279446584
700	0.3278821453
701	0.3278457925
702	0.3278195643
703	0.3277451226
704	0.3277156803
705	0.3276880584
706	0.3276175153
707	0.3275686598
708	0.3275348372
709	0.3275155792
710	0.3274916306
711	0.3274706949
712	0.3274387632
713	0.3274088988
714	0.3273867328
715	0.3273586051
716	0.3273185038
717	0.3272739871
718	0.3272593495
719	0.3272241229
720	0.327211287
721	0.3271873316
722	0.3271771903
723	0.3271404559
724	0.3271068808
725	0.3270959248
726	0.3270565774
727	0.3270173402
728	0.3270025259
729	0.3269804235
730	0.3269394994
731	0.3269179903
732	0.3268574219
733	0.3267854184
734	0.3267637437
735	0.3267272654
736	0.3266635794
737	0.3266357638
738	0.3266113132
739	0.3265882798
740	0.3265738227
741	0.3265340544
742	0.3264893879
743	0.3263807177
744	0.326323225
745	0.3262583293
746	0.3262329978
747	0.3261755484
748	0.3261510138
749	0.3261343495
750	0.3260980873
751	0.3260327827
752	0.3260058904
753	0.3259900386
754	0.3259311131
755	0.3259115076
756	0.3258827149
757	0.3258562189
758	0.3258124281
759	0.3257448397
760	0.3257087507
761	0.3256586265
762	0.3256347968
763	0.3256127375
764	0.3255749884
765	0.3255505998
766	0.3255388765
767	0.3255091069
768	0.3254928965
769	0.3254776403
770	0.3254494017
771	0.3254029193
772	0.3253540775
773	0.3253045172
774	0.325291498
775	0.3252732698
776	0.325247564
777	0.3252118852
778	0.3251851687
779	0.3251235079
780	0.3250923519
781	0.3250482371
782	0.3250340193
783	0.3250203341
784	0.3249968496
785	0.3249699812
786	0.3249211917
787	0.3248957053
788	0.3248697354
789	0.3248494223
790	0.3248097479
791	0.3247725827
792	0.3247580819
793	0.3247218024
794	0.3246904953
795	0.3246517618
796	0.3246308276
797	0.3245781973
798	0.3245025082
799	0.3244629371
800	0.3244271808
801	0.3243600255
802	0.3243152571
803	0.3243044339
804	0.3242622256
805	0.3242266368
806	0.3241682694
807	0.3241155378
808	0.3240716432
809	0.3240309317
810	0.3239985534
811	0.3239687801
812	0.3239299459
813	0.3239008824
814	0.3238781886
815	0.3238397182
816	0.3238254043
817	0.3237831851
818	0.3237540934
819	0.3237192217
820	0.3236932514
821	0.3236627112
822	0.3235943491
823	0.3235566196
824	0.3235373114
825	0.3235158448
826	0.3234524285
827	0.3234279397
828	0.3234106171
829	0.3233656249
830	0.3233247332
831	0.3232824113
832	0.3232641931
833	0.323221208
834	0.3232013564
835	0.3231457338
836	0.3231076434
837	0.323055651
838	0.323014694
839	0.3229467375
840	0.3229317951
841	0.3229162571
842	0.3229010302
843	0.322844105
844	0.3227698141
845	0.3226801877
846	0.3226480728
847	0.3226340123
848	0.3226122317
849	0.3225756101
850	0.3225477229
851	0.3225104098
852	0.3224814851
853	0.3224343872
854	0.3223792682
855	0.3223528447
856	0.3223236719
857	0.3222946904
858	0.3222560887
859	0.3222402643
860	0.3222267791
861	0.3221885929
862	0.3221621944
863	0.3221253816
864	0.322104912
865	0.3220761016
866	0.3220366189
867	0.3220125328
868	0.3219950166
869	0.3219669745
870	0.3219208963
871	0.3219001828
872	0.3218532988
873	0.3218243869
874	0.3217848486
875	0.3217597747
876	0.3217064994
877	0.3216669403
878	0.3216464743
879	0.321627907
880	0.3215908499
881	0.3215595674
882	0.3215424436
883	0.3215212678
884	0.3214955548
885	0.3214659305
886	0.3214383413
887	0.3214005103
888	0.3213617465
889	0.3213369923
890	0.3212878981
891	0.3212303567
892	0.3211661707
893	0.321142622
894	0.3211107969
895	0.3211019465
896	0.3210764715
897	0.3210710942
898	0.321013691
