iter	Passed	Remaining
399	53854	40390
400	53971	40243
401	54104	40107
402	54264	39991
403	54352	39822
404	54470	39676
405	54590	39530
406	54740	39407
407	54885	39280
408	55042	39162
409	55155	39012
410	55305	38888
411	55402	38727
412	55530	38588
413	55673	38460
414	55766	38297
415	55902	38164
416	56031	38026
417	56147	37879
418	56284	37746
419	56333	37555
420	56457	37414
421	56603	37288
422	56738	37154
423	56871	37020
424	57016	36893
425	57169	36770
426	57282	36623
427	57416	36488
428	57589	36379
429	57727	36247
430	57826	36091
431	57956	35954
432	58085	35816
433	58225	35686
434	58356	35550
435	58499	35421
436	58649	35297
437	58818	35183
438	58932	35037
439	59074	34907
440	59192	34764
441	59297	34612
442	59447	34487
443	59588	34357
444	59703	34212
445	59828	34072
446	59985	33951
447	60129	33823
448	60297	33707
449	60418	33565
450	60552	33431
451	60691	33299
452	60819	33162
453	60980	33042
454	61115	32908
455	61251	32775
456	61378	32636
457	61497	32494
458	61614	32351
459	61735	32209
460	61881	32081
461	62037	31958
462	62157	31817
463	62297	31685
464	62483	31577
465	62628	31448
466	62745	31305
467	62880	31171
468	63047	31053
469	63174	30915
470	63309	30781
471	63434	30641
472	63575	30510
473	63715	30379
474	63868	30253
475	63994	30115
476	64144	29987
477	64273	29850
478	64392	29709
479	64509	29566
480	64655	29437
481	64853	29332
482	65007	29206
483	65129	29065
484	65288	28942
485	65436	28813
486	65553	28671
487	65677	28532
488	65773	28380
489	65918	28250
490	66004	28095
491	66135	27959
492	66260	27821
493	66398	27688
494	66529	27552
495	66682	27425
496	66856	27307
497	67058	27200
498	67190	27064
499	67298	26919
500	67464	26797
501	67599	26662
502	67721	26523
503	67841	26382
504	67966	26244
505	68029	26082
506	68159	25946
507	68295	25812
508	68433	25679
509	68586	25552
510	68739	25424
511	68870	25288
512	68992	25149
513	69118	25011
514	69221	24865
515	69353	24730
516	69492	24598
517	69644	24469
518	69773	24333
519	69939	24209
520	70062	24071
521	70213	23942
522	70346	23807
523	70509	23682
524	70684	23561
525	70823	23428
526	70973	23298
527	71135	23172
528	71313	23052
529	71435	22913
530	71584	22783
531	71755	22659
532	71921	22534
533	72057	22400
534	72208	22269
535	72356	22138
536	72520	22012
537	72723	21898
538	72900	21775
539	73045	21643
540	73204	21514
541	73376	21390
542	73506	21253
543	73636	21116
544	73767	20979
545	73928	20851
546	74109	20728
547	74252	20595
548	74408	20465
549	74560	20334
550	74691	20197
551	74849	20068
552	74995	19935
553	75134	19800
554	75254	19660
555	75396	19527
556	75540	19393
557	75678	19258
558	75872	19137
559	76023	19005
560	76180	18875
561	76332	18743
562	76520	18620
563	76682	18490
564	76805	18351
565	76915	18209
566	77051	18073
567	77203	17941
568	77330	17803
569	77483	17671
570	77586	17528
571	77719	17391
572	77875	17260
573	78006	17123
574	78151	16989
575	78311	16858
576	78465	16726
577	78626	16595
578	78745	16456
579	78890	16322
580	79036	16188
581	79173	16052
582	79327	15920
583	79447	15780
584	79585	15644
585	79753	15515
586	79924	15385
587	80059	15249
588	80187	15111
589	80328	14976
590	80498	14846
591	80647	14712
592	80771	14574
593	80938	14443
594	81099	14311
595	81216	14172
596	81342	14034
597	81502	13901
598	81619	13762
599	81769	13628
600	81912	13493
601	82064	13359
602	82214	13225
603	82357	13089
604	82515	12957
605	82665	12822
606	82790	12684
607	82941	12550
608	83096	12416
609	83231	12280
610	83404	12148
611	83537	12011
612	83695	11878
613	83873	11747
614	84015	11611
615	84175	11478
616	84316	11342
617	84496	11211
618	84639	11075
619	84784	10939
620	84911	10801
621	85081	10669
622	85200	10530
623	85358	10396
